_id,sample_id,task_id,annotator,central_node,query,entity_annotations,slider_state,notes,status,template
69d2d31b9ef2781f4bc530d9,69d2d31b9ef2781f4bc530d8,69d2d31b9ef2781f4bc530d7,,org.apache.hadoop.yarn.server.nodemanager.WindowsSecureContainerExecutor.WindowsSecureWrapperScriptBuilder,Show the main and supporting classes involved in building shell script wrappers that do not create PID files for WindowsSecureContainerExecutor,{},"{""bc_threshold"": 0, ""calls_threshold"": 0}",,Not Annotated,True
69d2d3639ef2781f4bc530da,69d2d31b9ef2781f4bc530d8,69d2d31b9ef2781f4bc530d7,AndrewRatkov,org.apache.hadoop.yarn.server.nodemanager.WindowsSecureContainerExecutor.WindowsSecureWrapperScriptBuilder,Show the main and supporting classes involved in building shell script wrappers that do not create PID files for WindowsSecureContainerExecutor,{},"{""bc_threshold"": 0.00049437, ""calls_threshold"": 1}",Say my name,Finalized,False
69d2d3789ef2781f4bc530dc,69d2d31b9ef2781f4bc530d8,69d2d31b9ef2781f4bc530d7,RuslanAbliazov,org.apache.hadoop.yarn.server.nodemanager.WindowsSecureContainerExecutor.WindowsSecureWrapperScriptBuilder,Show the main and supporting classes involved in building shell script wrappers that do not create PID files for WindowsSecureContainerExecutor,"{""org.apache.hadoop.fs.Path"": ""useful"", ""org.apache.hadoop.yarn.server.nodemanager.DefaultContainerExecutor.LocalWrapperScriptBuilder"": ""useful"", ""org.apache.hadoop.yarn.server.nodemanager.DefaultContainerExecutor.WindowsLocalWrapperScriptBuilder"": ""required"", ""org.apache.hadoop.yarn.server.nodemanager.WindowsSecureContainerExecutor.WindowsSecureWrapperScriptBuilder"": ""irrelevant"", ""org.apache.hadoop.yarn.server.nodemanager.DefaultContainerExecutor.UnixLocalWrapperScriptBuilder"": ""irrelevant""}","{""bc_threshold"": 0, ""calls_threshold"": 0}",Тестовая разметка,Finalized,False
69d613da9ef2781f4bc533c5,69d2d31b9ef2781f4bc530d8,69d2d31b9ef2781f4bc530d7,SergeyKovalchuk,org.apache.hadoop.yarn.server.nodemanager.WindowsSecureContainerExecutor.WindowsSecureWrapperScriptBuilder,Show the main and supporting classes involved in building shell script wrappers that do not create PID files for WindowsSecureContainerExecutor,{},"{""bc_threshold"": 0, ""calls_threshold"": 8.095e-05}",,In Progress,False
69daa5869ef2781f4bc533f8,69daa5869ef2781f4bc533f7,69daa5869ef2781f4bc533f6,,ghidra.program.model.address.AddressSetViewAdapter,Show the main and supporting classes involved in providing read-only access to an address set,{},"{""bc_threshold"": 0, ""calls_threshold"": 0}",,Not Annotated,True
69daa5ae9ef2781f4bc53401,69daa5ae9ef2781f4bc53400,69daa5ae9ef2781f4bc533ff,,org.apache.flink.runtime.jobmaster.slotpool.BlocklistDeclarativeSlotPool,Show the main and supporting classes responsible for avoiding slot allocation on blocked nodes in BlocklistDeclarativeSlotPool,{},"{""bc_threshold"": 0, ""calls_threshold"": 0}",,Not Annotated,True
69daa5b59ef2781f4bc53404,69daa5b59ef2781f4bc53403,69daa5b59ef2781f4bc53402,,ghidra.framework.main.projectdata.actions.FindCheckoutsAction,Show the main and supporting classes responsible for initiating checkout status display for files selected in ProjectDataTreePanel,{},"{""bc_threshold"": 0, ""calls_threshold"": 0}",,Not Annotated,True
69daa5bb9ef2781f4bc53407,69daa5bb9ef2781f4bc53406,69daa5bb9ef2781f4bc53405,,org.apache.hadoop.ha.TestZKFailoverControllerStress,Show the main and supporting classes involved in automatic failovers of ZKFailoverController while ensuring exclusive shared resource ownership,{},"{""bc_threshold"": 0, ""calls_threshold"": 0}",,Not Annotated,True
69dc12f39ef2781f4bc5340a,69dc12f39ef2781f4bc53409,69dc12f39ef2781f4bc53408,,org.apache.flink.table.runtime.operators.join.stream.utils.AssociatedRecords,Show the main and supporting classes involved in wrapping and providing access to records associated with an input row,{},"{""bc_threshold"": 0, ""calls_threshold"": 0}",,Not Annotated,True
69dc12fd9ef2781f4bc5340d,69dc12fd9ef2781f4bc5340c,69dc12fd9ef2781f4bc5340b,,org.apache.flink.streaming.api.functions.windowing.delta.extractor.Extractor,Show the main and supporting classes responsible for extracting or converting one data type to another,{},"{""bc_threshold"": 0, ""calls_threshold"": 0}",,Not Annotated,True
